instr_resp.keys,instr_resp.rt,prac_resp.keys,prac_resp.corr,prac_1.thisRepN,prac_1.thisTrialN,prac_1.thisN,prac_1.thisIndex,prac_1.ran,prac_1.order,imageFile,posX,posY,corrAns,*Participant ID ,date,expName,psychopyVersion,frameRate,prac_resp.rt,instr_resp2.keys,instr_resp2.rt,prac_resp2.keys,prac_resp2.corr,prac_resp2.rt,prac_2.thisRepN,prac_2.thisTrialN,prac_2.thisN,prac_2.thisIndex,prac_2.ran,prac_2.order,pover_resp.keys,pover_resp.rt,earlyresp.keys,resp.keys,resp.corr,resp.rt,Groups.thisRepN,Groups.thisTrialN,Groups.thisN,Groups.thisIndex,Groups.ran,Groups.order,countgroups,masterBlock.thisRepN,masterBlock.thisTrialN,masterBlock.thisN,masterBlock.thisIndex,masterBlock.ran,masterBlock.order,masterFile,Block1.thisRepN,Block1.thisTrialN,Block1.thisN,Block1.thisIndex,Block1.ran,Block1.order,condFile,instr,StopSide.thisRepN,StopSide.thisTrialN,StopSide.thisN,StopSide.thisIndex,StopSide.ran,StopSide.order,earlyresp.rt
,,,,,,,,,,circle.jpg,0,0,c,0104,2019-06-11_15h42.28.444,Primed GoNogo,3.0.4,60,,,,c,1,0.382,1,0,8,4,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,circle.jpg,0,0,c,0104,2019-06-11_15h42.28.444,Primed GoNogo,3.0.4,60,,,,c,1,0.362,1,0,8,6,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,circle.jpg,-0.1,0,none,0104,2019-06-11_15h42.28.444,Primed GoNogo,3.0.4,60,,,,,1,,1,0,8,7,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,square.jpg,0,0,m,0104,2019-06-11_15h42.28.444,Primed GoNogo,3.0.4,60,,,,m,1,0.282,1,0,8,1,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,square.jpg,0.1,0,m,0104,2019-06-11_15h42.28.444,Primed GoNogo,3.0.4,60,,,,,0,,1,0,8,3,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,square.jpg,0,0,m,0104,2019-06-11_15h42.28.444,Primed GoNogo,3.0.4,60,,,,m,1,0.297,1,0,8,0,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,circle.jpg,0,0,c,0104,2019-06-11_15h42.28.444,Primed GoNogo,3.0.4,60,,,,,,,,,,,,,space,7.141,,c,1,0.281,1,0,2,0,1,1,conditionsMaster1.csv,1,0,3,0,1,2,conditionsFile1.csv,1,0,1,0,1,0,conditions1.csv,"If you see a circle: 
always respond with the letter  C. 

If you see a square:
respond with the letter  M  only if the triangle is in the middle. 

DO NOT press anything if the triangle is positioned on the right.",1,0,80,45,1,79,
,,,,,,,,,,square.jpg,0,0,m,0104,2019-06-11_15h42.28.444,Primed GoNogo,3.0.4,60,,,,,,,,,,,,,,,,m,1,0.465,1,0,2,0,1,1,conditionsMaster1.csv,1,0,3,0,1,2,conditionsFile1.csv,1,0,1,0,1,0,conditions1.csv,"If you see a circle: 
always respond with the letter  C. 

If you see a square:
respond with the letter  M  only if the triangle is in the middle. 

DO NOT press anything if the triangle is positioned on the right.",1,0,80,18,1,79,
,,,,,,,,,,circle.jpg,0,0,c,0104,2019-06-11_15h42.28.444,Primed GoNogo,3.0.4,60,,,,,,,,,,,,,,,,c,1,0.297,1,0,2,0,1,1,conditionsMaster1.csv,1,0,3,0,1,2,conditionsFile1.csv,1,0,1,0,1,0,conditions1.csv,"If you see a circle: 
always respond with the letter  C. 

If you see a square:
respond with the letter  M  only if the triangle is in the middle. 

DO NOT press anything if the triangle is positioned on the right.",1,0,80,30,1,79,
,,,,,,,,,,square.jpg,0,0,m,0104,2019-06-11_15h42.28.444,Primed GoNogo,3.0.4,60,,,,,,,,,,,,,,,,m,1,0.397,1,0,2,0,1,1,conditionsMaster1.csv,1,0,3,0,1,2,conditionsFile1.csv,1,0,1,0,1,0,conditions1.csv,"If you see a circle: 
always respond with the letter  C. 

If you see a square:
respond with the letter  M  only if the triangle is in the middle. 

DO NOT press anything if the triangle is positioned on the right.",1,0,80,1,1,79,
,,,,,,,,,,square.jpg,0,0,m,0104,2019-06-11_15h42.28.444,Primed GoNogo,3.0.4,60,,,,,,,,,,,,,,,,m,1,0.412,1,0,2,0,1,1,conditionsMaster1.csv,1,0,3,0,1,2,conditionsFile1.csv,1,0,1,0,1,0,conditions1.csv,"If you see a circle: 
always respond with the letter  C. 

If you see a square:
respond with the letter  M  only if the triangle is in the middle. 

DO NOT press anything if the triangle is positioned on the right.",1,0,80,49,1,79,
,,,,,,,,,,square.jpg,0,0,m,0104,2019-06-11_15h42.28.444,Primed GoNogo,3.0.4,60,,,,,,,,,,,,,,,,m,1,0.379,1,0,2,0,1,1,conditionsMaster1.csv,1,0,3,0,1,2,conditionsFile1.csv,1,0,1,0,1,0,conditions1.csv,"If you see a circle: 
always respond with the letter  C. 

If you see a square:
respond with the letter  M  only if the triangle is in the middle. 

DO NOT press anything if the triangle is positioned on the right.",1,0,80,58,1,79,
,,,,,,,,,,circle.jpg,0,0,c,0104,2019-06-11_15h42.28.444,Primed GoNogo,3.0.4,60,,,,,,,,,,,,,,,,c,1,0.246,1,0,2,0,1,1,conditionsMaster1.csv,1,0,3,0,1,2,conditionsFile1.csv,1,0,1,0,1,0,conditions1.csv,"If you see a circle: 
always respond with the letter  C. 

If you see a square:
respond with the letter  M  only if the triangle is in the middle. 

DO NOT press anything if the triangle is positioned on the right.",1,0,80,54,1,79,
,,,,,,,,,,square.jpg,0,0,m,0104,2019-06-11_15h42.28.444,Primed GoNogo,3.0.4,60,,,,,,,,,,,,,,,,m,1,0.413,1,0,2,0,1,1,conditionsMaster1.csv,1,0,3,0,1,2,conditionsFile1.csv,1,0,1,0,1,0,conditions1.csv,"If you see a circle: 
always respond with the letter  C. 

If you see a square:
respond with the letter  M  only if the triangle is in the middle. 

DO NOT press anything if the triangle is positioned on the right.",1,0,80,32,1,79,
,,,,,,,,,,circle.jpg,-0.1,0,c,0104,2019-06-11_15h42.28.444,Primed GoNogo,3.0.4,60,,,,,,,,,,,,,,,,c,1,0.312,1,0,2,0,1,1,conditionsMaster1.csv,1,0,3,0,1,2,conditionsFile1.csv,1,0,1,0,1,0,conditions1.csv,"If you see a circle: 
always respond with the letter  C. 

If you see a square:
respond with the letter  M  only if the triangle is in the middle. 

DO NOT press anything if the triangle is positioned on the right.",1,0,80,7,1,79,
,,,,,,,,,,square.jpg,0.1,0,none,0104,2019-06-11_15h42.28.444,Primed GoNogo,3.0.4,60,,,,,,,,,,,,,,,,,1,,1,0,2,0,1,1,conditionsMaster1.csv,1,0,3,0,1,2,conditionsFile1.csv,1,0,1,0,1,0,conditions1.csv,"If you see a circle: 
always respond with the letter  C. 

If you see a square:
respond with the letter  M  only if the triangle is in the middle. 

DO NOT press anything if the triangle is positioned on the right.",1,0,80,11,1,79,
,,,,,,,,,,square.jpg,0,0,m,0104,2019-06-11_15h42.28.444,Primed GoNogo,3.0.4,60,,,,,,,,,,,,,,,,m,1,0.48,1,0,2,0,1,1,conditionsMaster1.csv,1,0,3,0,1,2,conditionsFile1.csv,1,0,1,0,1,0,conditions1.csv,"If you see a circle: 
always respond with the letter  C. 

If you see a square:
respond with the letter  M  only if the triangle is in the middle. 

DO NOT press anything if the triangle is positioned on the right.",1,0,80,25,1,79,
,,,,,,,,,,square.jpg,0.1,0,none,0104,2019-06-11_15h42.28.444,Primed GoNogo,3.0.4,60,,,,,,,,,,,,,,,,,1,,1,0,2,0,1,1,conditionsMaster1.csv,1,0,3,0,1,2,conditionsFile1.csv,1,0,1,0,1,0,conditions1.csv,"If you see a circle: 
always respond with the letter  C. 

If you see a square:
respond with the letter  M  only if the triangle is in the middle. 

DO NOT press anything if the triangle is positioned on the right.",1,0,80,67,1,79,
,,,,,,,,,,square.jpg,0,0,m,0104,2019-06-11_15h42.28.444,Primed GoNogo,3.0.4,60,,,,,,,,,,,,,,,,m,1,0.514,1,0,2,0,1,1,conditionsMaster1.csv,1,0,3,0,1,2,conditionsFile1.csv,1,0,1,0,1,0,conditions1.csv,"If you see a circle: 
always respond with the letter  C. 

If you see a square:
respond with the letter  M  only if the triangle is in the middle. 

DO NOT press anything if the triangle is positioned on the right.",1,0,80,72,1,79,
,,,,,,,,,,circle.jpg,0,0,c,0104,2019-06-11_15h42.28.444,Primed GoNogo,3.0.4,60,,,,,,,,,,,,,,,,c,1,0.313,1,0,2,0,1,1,conditionsMaster1.csv,1,0,3,0,1,2,conditionsFile1.csv,1,0,1,0,1,0,conditions1.csv,"If you see a circle: 
always respond with the letter  C. 

If you see a square:
respond with the letter  M  only if the triangle is in the middle. 

DO NOT press anything if the triangle is positioned on the right.",1,0,80,36,1,79,
,,,,,,,,,,square.jpg,0.1,0,none,0104,2019-06-11_15h42.28.444,Primed GoNogo,3.0.4,60,,,,,,,,,,,,,,,,,1,,1,0,2,0,1,1,conditionsMaster1.csv,1,0,3,0,1,2,conditionsFile1.csv,1,0,1,0,1,0,conditions1.csv,"If you see a circle: 
always respond with the letter  C. 

If you see a square:
respond with the letter  M  only if the triangle is in the middle. 

DO NOT press anything if the triangle is positioned on the right.",1,0,80,3,1,79,
,,,,,,,,,,circle.jpg,0,0,c,0104,2019-06-11_15h42.28.444,Primed GoNogo,3.0.4,60,,,,,,,,,,,,,,,,c,1,0.262,1,0,2,0,1,1,conditionsMaster1.csv,1,0,3,0,1,2,conditionsFile1.csv,1,0,1,0,1,0,conditions1.csv,"If you see a circle: 
always respond with the letter  C. 

If you see a square:
respond with the letter  M  only if the triangle is in the middle. 

DO NOT press anything if the triangle is positioned on the right.",1,0,80,22,1,79,
,,,,,,,,,,square.jpg,0,0,m,0104,2019-06-11_15h42.28.444,Primed GoNogo,3.0.4,60,,,,,,,,,,,,,,,,m,1,0.399,1,0,2,0,1,1,conditionsMaster1.csv,1,0,3,0,1,2,conditionsFile1.csv,1,0,1,0,1,0,conditions1.csv,"If you see a circle: 
always respond with the letter  C. 

If you see a square:
respond with the letter  M  only if the triangle is in the middle. 

DO NOT press anything if the triangle is positioned on the right.",1,0,80,16,1,79,
,,,,,,,,,,circle.jpg,0,0,c,0104,2019-06-11_15h42.28.444,Primed GoNogo,3.0.4,60,,,,,,,,,,,,,,,,c,1,0.063,1,0,2,0,1,1,conditionsMaster1.csv,1,0,3,0,1,2,conditionsFile1.csv,1,0,1,0,1,0,conditions1.csv,"If you see a circle: 
always respond with the letter  C. 

If you see a square:
respond with the letter  M  only if the triangle is in the middle. 

DO NOT press anything if the triangle is positioned on the right.",1,0,80,62,1,79,
,,,,,,,,,,square.jpg,0,0,m,0104,2019-06-11_15h42.28.444,Primed GoNogo,3.0.4,60,,,,,,,,,,,,,,,,m,1,0.348,1,0,2,0,1,1,conditionsMaster1.csv,1,0,3,0,1,2,conditionsFile1.csv,1,0,1,0,1,0,conditions1.csv,"If you see a circle: 
always respond with the letter  C. 

If you see a square:
respond with the letter  M  only if the triangle is in the middle. 

DO NOT press anything if the triangle is positioned on the right.",1,0,80,56,1,79,
,,,,,,,,,,circle.jpg,0,0,c,0104,2019-06-11_15h42.28.444,Primed GoNogo,3.0.4,60,,,,,,,,,,,,,,,,c,1,0.347,1,0,2,0,1,1,conditionsMaster1.csv,1,0,3,0,1,2,conditionsFile1.csv,1,0,1,0,1,0,conditions1.csv,"If you see a circle: 
always respond with the letter  C. 

If you see a square:
respond with the letter  M  only if the triangle is in the middle. 

DO NOT press anything if the triangle is positioned on the right.",1,0,80,77,1,79,
,,,,,,,,,,square.jpg,0,0,m,0104,2019-06-11_15h42.28.444,Primed GoNogo,3.0.4,60,,,,,,,,,,,,,,,,m,1,0.397,1,0,2,0,1,1,conditionsMaster1.csv,1,0,3,0,1,2,conditionsFile1.csv,1,0,1,0,1,0,conditions1.csv,"If you see a circle: 
always respond with the letter  C. 

If you see a square:
respond with the letter  M  only if the triangle is in the middle. 

DO NOT press anything if the triangle is positioned on the right.",1,0,80,2,1,79,
,,,,,,,,,,circle.jpg,0,0,c,0104,2019-06-11_15h42.28.444,Primed GoNogo,3.0.4,60,,,,,,,,,,,,,,,,c,1,0.079,1,0,2,0,1,1,conditionsMaster1.csv,1,0,3,0,1,2,conditionsFile1.csv,1,0,1,0,1,0,conditions1.csv,"If you see a circle: 
always respond with the letter  C. 

If you see a square:
respond with the letter  M  only if the triangle is in the middle. 

DO NOT press anything if the triangle is positioned on the right.",1,0,80,28,1,79,
,,,,,,,,,,circle.jpg,0,0,c,0104,2019-06-11_15h42.28.444,Primed GoNogo,3.0.4,60,,,,,,,,,,,,,,,,c,1,0.214,1,0,2,0,1,1,conditionsMaster1.csv,1,0,3,0,1,2,conditionsFile1.csv,1,0,1,0,1,0,conditions1.csv,"If you see a circle: 
always respond with the letter  C. 

If you see a square:
respond with the letter  M  only if the triangle is in the middle. 

DO NOT press anything if the triangle is positioned on the right.",1,0,80,68,1,79,
,,,,,,,,,,square.jpg,0,0,m,0104,2019-06-11_15h42.28.444,Primed GoNogo,3.0.4,60,,,,,,,,,,,,,,,,m,1,0.465,1,0,2,0,1,1,conditionsMaster1.csv,1,0,3,0,1,2,conditionsFile1.csv,1,0,1,0,1,0,conditions1.csv,"If you see a circle: 
always respond with the letter  C. 

If you see a square:
respond with the letter  M  only if the triangle is in the middle. 

DO NOT press anything if the triangle is positioned on the right.",1,0,80,34,1,79,
,,,,,,,,,,circle.jpg,0,0,c,0104,2019-06-11_15h42.28.444,Primed GoNogo,3.0.4,60,,,,,,,,,,,,,,,,c,1,0.013,1,0,2,0,1,1,conditionsMaster1.csv,1,0,3,0,1,2,conditionsFile1.csv,1,0,1,0,1,0,conditions1.csv,"If you see a circle: 
always respond with the letter  C. 

If you see a square:
respond with the letter  M  only if the triangle is in the middle. 

DO NOT press anything if the triangle is positioned on the right.",1,0,80,12,1,79,
,,,,,,,,,,square.jpg,0,0,m,0104,2019-06-11_15h42.28.444,Primed GoNogo,3.0.4,60,,,,,,,,,,,,,,,,m,1,0.464,1,0,2,0,1,1,conditionsMaster1.csv,1,0,3,0,1,2,conditionsFile1.csv,1,0,1,0,1,0,conditions1.csv,"If you see a circle: 
always respond with the letter  C. 

If you see a square:
respond with the letter  M  only if the triangle is in the middle. 

DO NOT press anything if the triangle is positioned on the right.",1,0,80,17,1,79,
,,,,,,,,,,circle.jpg,0,0,c,0104,2019-06-11_15h42.28.444,Primed GoNogo,3.0.4,60,,,,,,,,,,,,,,,,c,1,0.029,1,0,2,0,1,1,conditionsMaster1.csv,1,0,3,0,1,2,conditionsFile1.csv,1,0,1,0,1,0,conditions1.csv,"If you see a circle: 
always respond with the letter  C. 

If you see a square:
respond with the letter  M  only if the triangle is in the middle. 

DO NOT press anything if the triangle is positioned on the right.",1,0,80,29,1,79,
,,,,,,,,,,circle.jpg,0,0,c,0104,2019-06-11_15h42.28.444,Primed GoNogo,3.0.4,60,,,,,,,,,,,,,,,,c,1,0.164,1,0,2,0,1,1,conditionsMaster1.csv,1,0,3,0,1,2,conditionsFile1.csv,1,0,1,0,1,0,conditions1.csv,"If you see a circle: 
always respond with the letter  C. 

If you see a square:
respond with the letter  M  only if the triangle is in the middle. 

DO NOT press anything if the triangle is positioned on the right.",1,0,80,6,1,79,
,,,,,,,,,,circle.jpg,0,0,c,0104,2019-06-11_15h42.28.444,Primed GoNogo,3.0.4,60,,,,,,,,,,,,,,,,c,1,0.265,1,0,2,0,1,1,conditionsMaster1.csv,1,0,3,0,1,2,conditionsFile1.csv,1,0,1,0,1,0,conditions1.csv,"If you see a circle: 
always respond with the letter  C. 

If you see a square:
respond with the letter  M  only if the triangle is in the middle. 

DO NOT press anything if the triangle is positioned on the right.",1,0,80,20,1,79,
,,,,,,,,,,square.jpg,0.1,0,none,0104,2019-06-11_15h42.28.444,Primed GoNogo,3.0.4,60,,,,,,,,,,,,,,,,,1,,1,0,2,0,1,1,conditionsMaster1.csv,1,0,3,0,1,2,conditionsFile1.csv,1,0,1,0,1,0,conditions1.csv,"If you see a circle: 
always respond with the letter  C. 

If you see a square:
respond with the letter  M  only if the triangle is in the middle. 

DO NOT press anything if the triangle is positioned on the right.",1,0,80,75,1,79,
,,,,,,,,,,circle.jpg,0,0,c,0104,2019-06-11_15h42.28.444,Primed GoNogo,3.0.4,60,,,,,,,,,,,,,,,,c,1,0.313,1,0,2,0,1,1,conditionsMaster1.csv,1,0,3,0,1,2,conditionsFile1.csv,1,0,1,0,1,0,conditions1.csv,"If you see a circle: 
always respond with the letter  C. 

If you see a square:
respond with the letter  M  only if the triangle is in the middle. 

DO NOT press anything if the triangle is positioned on the right.",1,0,80,13,1,79,
,,,,,,,,,,square.jpg,0,0,m,0104,2019-06-11_15h42.28.444,Primed GoNogo,3.0.4,60,,,,,,,,,,,,,,,,m,1,0.528,1,0,2,0,1,1,conditionsMaster1.csv,1,0,3,0,1,2,conditionsFile1.csv,1,0,1,0,1,0,conditions1.csv,"If you see a circle: 
always respond with the letter  C. 

If you see a square:
respond with the letter  M  only if the triangle is in the middle. 

DO NOT press anything if the triangle is positioned on the right.",1,0,80,8,1,79,
,,,,,,,,,,square.jpg,0.1,0,none,0104,2019-06-11_15h42.28.444,Primed GoNogo,3.0.4,60,,,,,,,,,,,,,,,,,1,,1,0,2,0,1,1,conditionsMaster1.csv,1,0,3,0,1,2,conditionsFile1.csv,1,0,1,0,1,0,conditions1.csv,"If you see a circle: 
always respond with the letter  C. 

If you see a square:
respond with the letter  M  only if the triangle is in the middle. 

DO NOT press anything if the triangle is positioned on the right.",1,0,80,19,1,79,
,,,,,,,,,,square.jpg,0,0,m,0104,2019-06-11_15h42.28.444,Primed GoNogo,3.0.4,60,,,,,,,,,,,,,,,,m,1,0.547,1,0,2,0,1,1,conditionsMaster1.csv,1,0,3,0,1,2,conditionsFile1.csv,1,0,1,0,1,0,conditions1.csv,"If you see a circle: 
always respond with the letter  C. 

If you see a square:
respond with the letter  M  only if the triangle is in the middle. 

DO NOT press anything if the triangle is positioned on the right.",1,0,80,73,1,79,
,,,,,,,,,,circle.jpg,0,0,c,0104,2019-06-11_15h42.28.444,Primed GoNogo,3.0.4,60,,,,,,,,,,,,,,,,c,1,0.248,1,0,2,0,1,1,conditionsMaster1.csv,1,0,3,0,1,2,conditionsFile1.csv,1,0,1,0,1,0,conditions1.csv,"If you see a circle: 
always respond with the letter  C. 

If you see a square:
respond with the letter  M  only if the triangle is in the middle. 

DO NOT press anything if the triangle is positioned on the right.",1,0,80,60,1,79,
,,,,,,,,,,circle.jpg,-0.1,0,c,0104,2019-06-11_15h42.28.444,Primed GoNogo,3.0.4,60,,,,,,,,,,,,,,,,c,1,0.562,1,0,2,0,1,1,conditionsMaster1.csv,1,0,3,0,1,2,conditionsFile1.csv,1,0,1,0,1,0,conditions1.csv,"If you see a circle: 
always respond with the letter  C. 

If you see a square:
respond with the letter  M  only if the triangle is in the middle. 

DO NOT press anything if the triangle is positioned on the right.",1,0,80,71,1,79,
,,,,,,,,,,square.jpg,0.1,0,none,0104,2019-06-11_15h42.28.444,Primed GoNogo,3.0.4,60,,,,,,,,,,,,,,,,,1,,1,0,2,0,1,1,conditionsMaster1.csv,1,0,3,0,1,2,conditionsFile1.csv,1,0,1,0,1,0,conditions1.csv,"If you see a circle: 
always respond with the letter  C. 

If you see a square:
respond with the letter  M  only if the triangle is in the middle. 

DO NOT press anything if the triangle is positioned on the right.",1,0,80,43,1,79,
,,,,,,,,,,circle.jpg,0,0,c,0104,2019-06-11_15h42.28.444,Primed GoNogo,3.0.4,60,,,,,,,,,,,,,,,,c,1,0.029,1,0,2,0,1,1,conditionsMaster1.csv,1,0,3,0,1,2,conditionsFile1.csv,1,0,1,0,1,0,conditions1.csv,"If you see a circle: 
always respond with the letter  C. 

If you see a square:
respond with the letter  M  only if the triangle is in the middle. 

DO NOT press anything if the triangle is positioned on the right.",1,0,80,52,1,79,
,,,,,,,,,,circle.jpg,0,0,c,0104,2019-06-11_15h42.28.444,Primed GoNogo,3.0.4,60,,,,,,,,,,,,,,,,m,0,0.479,1,0,2,0,1,1,conditionsMaster1.csv,1,0,3,0,1,2,conditionsFile1.csv,1,0,1,0,1,0,conditions1.csv,"If you see a circle: 
always respond with the letter  C. 

If you see a square:
respond with the letter  M  only if the triangle is in the middle. 

DO NOT press anything if the triangle is positioned on the right.",1,0,80,14,1,79,
,,,,,,,,,,circle.jpg,0,0,c,0104,2019-06-11_15h42.28.444,Primed GoNogo,3.0.4,60,,,,,,,,,,,,,,,,c,1,0.296,1,0,2,0,1,1,conditionsMaster1.csv,1,0,3,0,1,2,conditionsFile1.csv,1,0,1,0,1,0,conditions1.csv,"If you see a circle: 
always respond with the letter  C. 

If you see a square:
respond with the letter  M  only if the triangle is in the middle. 

DO NOT press anything if the triangle is positioned on the right.",1,0,80,69,1,79,
,,,,,,,,,,square.jpg,0,0,m,0104,2019-06-11_15h42.28.444,Primed GoNogo,3.0.4,60,,,,,,,,,,,,,,,,m,1,0.545,1,0,2,0,1,1,conditionsMaster1.csv,1,0,3,0,1,2,conditionsFile1.csv,1,0,1,0,1,0,conditions1.csv,"If you see a circle: 
always respond with the letter  C. 

If you see a square:
respond with the letter  M  only if the triangle is in the middle. 

DO NOT press anything if the triangle is positioned on the right.",1,0,80,10,1,79,
,,,,,,,,,,circle.jpg,-0.1,0,c,0104,2019-06-11_15h42.28.444,Primed GoNogo,3.0.4,60,,,,,,,,,,,,,,,,c,1,0.379,1,0,2,0,1,1,conditionsMaster1.csv,1,0,3,0,1,2,conditionsFile1.csv,1,0,1,0,1,0,conditions1.csv,"If you see a circle: 
always respond with the letter  C. 

If you see a square:
respond with the letter  M  only if the triangle is in the middle. 

DO NOT press anything if the triangle is positioned on the right.",1,0,80,63,1,79,
,,,,,,,,,,square.jpg,0.1,0,none,0104,2019-06-11_15h42.28.444,Primed GoNogo,3.0.4,60,,,,,,,,,,,,,,,,,1,,1,0,2,0,1,1,conditionsMaster1.csv,1,0,3,0,1,2,conditionsFile1.csv,1,0,1,0,1,0,conditions1.csv,"If you see a circle: 
always respond with the letter  C. 

If you see a square:
respond with the letter  M  only if the triangle is in the middle. 

DO NOT press anything if the triangle is positioned on the right.",1,0,80,59,1,79,
,,,,,,,,,,square.jpg,0.1,0,none,0104,2019-06-11_15h42.28.444,Primed GoNogo,3.0.4,60,,,,,,,,,,,,,,,,,1,,1,0,2,0,1,1,conditionsMaster1.csv,1,0,3,0,1,2,conditionsFile1.csv,1,0,1,0,1,0,conditions1.csv,"If you see a circle: 
always respond with the letter  C. 

If you see a square:
respond with the letter  M  only if the triangle is in the middle. 

DO NOT press anything if the triangle is positioned on the right.",1,0,80,51,1,79,
,,,,,,,,,,circle.jpg,0,0,c,0104,2019-06-11_15h42.28.444,Primed GoNogo,3.0.4,60,,,,,,,,,,,,,,,,c,1,0.348,1,0,2,0,1,1,conditionsMaster1.csv,1,0,3,0,1,2,conditionsFile1.csv,1,0,1,0,1,0,conditions1.csv,"If you see a circle: 
always respond with the letter  C. 

If you see a square:
respond with the letter  M  only if the triangle is in the middle. 

DO NOT press anything if the triangle is positioned on the right.",1,0,80,21,1,79,
,,,,,,,,,,circle.jpg,0,0,c,0104,2019-06-11_15h42.28.444,Primed GoNogo,3.0.4,60,,,,,,,,,,,,,,,,c,1,0.564,1,0,2,0,1,1,conditionsMaster1.csv,1,0,3,0,1,2,conditionsFile1.csv,1,0,1,0,1,0,conditions1.csv,"If you see a circle: 
always respond with the letter  C. 

If you see a square:
respond with the letter  M  only if the triangle is in the middle. 

DO NOT press anything if the triangle is positioned on the right.",1,0,80,46,1,79,
,,,,,,,,,,square.jpg,0,0,m,0104,2019-06-11_15h42.28.444,Primed GoNogo,3.0.4,60,,,,,,,,,,,,,,,,m,1,0.414,1,0,2,0,1,1,conditionsMaster1.csv,1,0,3,0,1,2,conditionsFile1.csv,1,0,1,0,1,0,conditions1.csv,"If you see a circle: 
always respond with the letter  C. 

If you see a square:
respond with the letter  M  only if the triangle is in the middle. 

DO NOT press anything if the triangle is positioned on the right.",1,0,80,0,1,79,
